(Unisex) Filip Pagowski Printed Cotton Shirt,13,0,"530,000",0,그래픽 아티스트 필립 파고스키의 아트워크를 전체적으로 프린트하여 포인트를 더한 셔츠입니다. 면 소재로 제작되어 편안한 착용감을 선사하며, 모노톤 색상으로 베이직하면서도 시크한 분위기를 연출합니다. 감각적인 브랜드의 감성을 느낄 수 있으며, 유니섹스 라인으로 남녀 모두 착용할 수 있습니다.Black,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/04/GM0024030439696_0_THNAIL_ORGINL_20240305115812510.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Basic Collar Cotton Shirt,13,0,"430,000",0,면 소재로 제작된 베이직 셔츠입니다. 스탠드 칼라와 앞면 한 개의 포켓이 단정한 무드를 연출합니다. 적당한 두께의 면 소재로 제작되어 이너로 레이어드 하기 좋아 활용도가 높습니다. 같은 브랜드 재킷이나 니트, 드레스 등 다양한 아이템과의 레이어드를 위한 기본 아이템입니다.White,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/13/GM0024031305737_0_THNAIL_ORGINL_20240318175231929.jpg,S,사이즈/S&어깨너비/40&가슴둘레/100&소매길이/60.5&총장/71.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Wide Collar Cotton Shirt,13, 0, "30%",30와이드 칼라 디테일의 코튼 셔츠입니다. 적당한 두께의 면 소재로 제작되어 이너로 레이어드하기 좋은 아이템입니다. 와이드 칼라와 소매 끝부분의 단추 여밈 디테일이 귀여운 무드를 연출합니다.White,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/13/GM0024031305765_0_THNAIL_ORGINL_20240318175238429.jpg,S,사이즈/S&어깨너비/40&가슴둘레/100&소매길이/62&총장/60,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Round Collar Cotton Shirt,13,0,"430,000",0,면 소재로 제작된 베이직 셔츠입니다. 라운드 칼라와 앞면 한 개의 포켓이 단정하고 귀여운 무드를 연출합니다. 적당한 두께의 면 소재로 제작되어 이너로 레이어드 하기 좋아 활용도가 높습니다. 같은 브랜드 재킷이나 니트, 드레스 등 다양한 아이템과의 레이어드를 위한 기본 아이템입니다.White,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/13/GM0024031305739_0_THNAIL_ORGINL_20240318175234261.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Polyester Spun Broad Side Slit Long Shirt,13,0,"480,000",0,내구성이 뛰어난 폴리에스터 소재로 제작하여 착용감이 편안한 유니섹스 라인의 롱 셔츠입니다. 차분한 색상으로 제작하여 무난하면서도 세련된 멋을 더했습니다. 합리적인 가격대에 브랜드의 정체성을 담아낸 아이템으로, 다양한 하의와 함께 매치하여 매력적인 룩을 완성할 수 있습니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/04/02/GM0024040250318_0_THNAIL_ORGINL_20240405151349564.jpg,XS,사이즈/XS&어깨너비/39.5&가슴둘레/98&소매길이/62.5&총장/88,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Cotton Broad Shirt,13,0,"380,000",0,등 부분의 커팅 디테일로 포인트를 더한 셔츠입니다. 유니섹스 라인으로 남녀 모두 착용할 수 있으며, 모노톤 색상으로 베이직하면서도 시크한 분위기를 연출합니다. 단독으로는 물론 이너와 함께 깔끔한 룩을 완성할 수 있습니다.Black,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/04/GM0024030439747_0_THNAIL_ORGINL_20240305130143473.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Cotton Broad Shirt,13,0,"380,000",0,등 부분의 커팅 디테일로 포인트를 더한 셔츠입니다. 유니섹스 라인으로 남녀 모두 착용할 수 있으며, 모노톤 색상으로 베이직하면서도 시크한 분위기를 연출합니다. 단독으로는 물론 이너와 함께 깔끔한 룩을 완성할 수 있습니다.Whtie,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/03/04/GM0024030439746_0_THNAIL_ORGINL_20240305130142056.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Frill Detail Sailor Collar Cotton Shirt,13, 0, "30%",30면 소재로 제작된 세일러 카라 디테일의 숏 슬리브 셔츠 입니다. 세일러 카라에는 잔잔한 프릴을 더해 여성스러운 느낌을 줍니다. 시즌 테마인 세일러 디테일과 프릴이 귀엽고 소녀스러운 룩을 완성합니다. 단독 착용은 물론, 슬리브리스 드레스나 다양한 아우터와 레이어드 했을 때 포인트를 더할 수 있는 아이템 입니다.White,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/02/27/GM0024022710637_0_THNAIL_ORGINL_20240227163203585.jpg,XS,사이즈/XS&어깨너비/38.4&가슴둘레/92&소매길이/19.5&총장/59.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Georgette Polka Dot Print Shirt,13, 0, "30%",30폴리에스터 죠젯 소재로 제작된 셔츠 입니다. 라이트 그레이 컬러의 2가지 셔츠가 레이어드 된 듯한 디자인이 유니크 합니다. 얇고 가벼운 소재로 편안한 착용이 가능합니다. 힙을 덮는 기장감과 넉넉한 실루엣으로 와이드 팬츠나 스커트 등 볼륨감 있는 바텀과 매치해 아방가르드하고 귀여운 룩을 연출합니다.Grey,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/02/27/GM0024022710633_0_THNAIL_ORGINL_20240227143449563.jpg,S,사이즈/S&어깨너비/39.5&가슴둘레/106&소매길이/61&총장/86,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Polyester Georgette Garment Treated Frilled Shirt,13, 0, "30%",30유니섹스 라인 블랙 꼼데가르송입니다. 모노톤 위주의 색상으로 전개하여 무난하면서도 시크한 착장을 완성할 수 있습니다. 합리적인 가격대에 브랜드의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/23/08/08/GM0023080843804_0_THNAIL_ORGINL_20230809190014868.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/38.5/39.5/40.5&가슴단면/46/47.5/49&소매길이/58/60/62.5&총장/66/68/70,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
