Pleats Detail Sleeveless Dress,15,0,"1,350,000",0,면과 폴리에스터 소재로 제작된 드레스입니다. 상의는 광택 없는 벨벳 소재를, 하의는 폴리에스터 소재를 사용해 제작했습니다. 따뜻한 느낌이 돋보이며 민소매 디자인으로 다양한 이너와 레이어드할 수 있습니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096315_0_THNAIL_ORGINL_20240904121455383.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Pleats Detail Dress,15,0,"1,350,000",0,폴리에스터 소재로 제작된 드레스입니다. 상의는 광택이 있는 폴리에스터 소재로, 하의는 광택이 없는 소재로 제작해 독특한 분위기를 느낄 수 있습니다. 화려한 느낌을 연출하는 아이템으로, 높은 허리 선과 플리츠 디테일이 여성스러움을 더해줍니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096314_0_THNAIL_ORGINL_20240904121454027.jpg,XS/S/M,사이즈/XS/S/M&가슴둘레/82/86/90&소매길이/59/60/61&총장/112.5/114.5/116.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Round Collar Short Sleeve Dress,15,0,"1,330,000",0,울 소재로 제작된 드레스입니다. 칼라 부분에 벨벳 리본 디테일을 더했습니다. 팔꿈치까지 내려오는 소매로 착용감이 편안합니다. 여성스러운 무드의 아이템입니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697117_0_THNAIL_ORGINL_20240809164030593.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/35/36/37&가슴둘레/82/90/98&소매길이/34/35/36&총장/107.5/109.5/111.5,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Bias Detail Pleats Dress,15,0,"1,250,000",0,폴리에스터 소재로 제작된 드레스입니다. 브랜드 정체성을 드러내는 비대칭 실루엣이 매력적입니다. 셔츠 드레스 같은 디자인에 주름 디테일을 더해 단정하면서도 귀여운 매력이 돋보입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697116_0_THNAIL_ORGINL_20240809164029156.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/44.5/45.5/46.5&가슴둘레/108/112/116&소매길이/54/55/56&총장/96/98/100,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Milano Wool Sleeveless Dress,15,0,"1,250,000",0,밀라노 울 소재로 제작된 민소매 드레스입니다. 이번 시즌 새롭게 선보이는 제품으로, 셔츠나 티셔츠 등의 이너와 레이어드해 착용이 가능합니다. 허리 실루엣을 잡아주는 디자인으로 착용 시 연출되는 A 라인이 매력적입니다. 부드럽고 유연한 소재, 넉넉한 핏으로 편안한 착용이 가능합니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697115_0_THNAIL_ORGINL_20240809164027487.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/34/35/36&가슴둘레/86/90/94&총장/107/109/111,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Satin Short Sleeve Long Dress,15,0,"1,650,000",0,폴리에스터 새틴 소재로 제작된 드레스입니다. 종아리 아래까지 내려오는 긴 기장으로 착용감이 편안합니다. 은은한 광택의 새틴 소재와 꽃잎을 연상시키는 둥근 커팅이 여성스러운 무드를 자아냅니다. 해체주의적 디자인을 적용한 앞면 패널, 절개 디테일로 색다른 매력을 느낄 수 있는 아이템입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697114_0_THNAIL_ORGINL_20240809164024252.jpg,XS/S/M,사이즈/XS/S/M&가슴둘레/80/84/88&소매길이/33.5/34.5/35.5&총장/114/116/118,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Polyester Twill Garment Treated,15,0,"1,030,000",0,유니섹스 라인 블랙 꼼데가르송입니다. 모노톤 위주의 컬러로 전개하여 무난하면서도 시크한 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/29/GM0024072937441_0_THNAIL_ORGINL_20240801114310885.jpg,XS/S/M,사이즈/XS/S/M&어깨너비/29/30/31&가슴둘레/80/84/88&총장/103/105/107,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Satin Round Collar Dress,15, 0, "30%",30폴리에스터 사틴 소재로 제작된 폴카도트 패턴의 드레스 입니다. 잔잔한 폴카도트 패턴과 은은한 광택의 소재감이 여성스럽고 귀여운 느낌을 줍니다. 팔꿈치까지 오는 기장의 슬리브와 앞단의 주름이 소녀스럽고 사랑스러운 무드를 연출합니다. 얇은 폴리에스터 소재로 여름까지 착용이 가능하며, 재킷이나 카디건과 레이어드는 물론 단독으로도 착용하기에도 좋은 아이템 입니다.Navy,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/04/09/GM0024040984934_0_THNAIL_ORGINL_20240412110357803.jpg,XS(002)/S(003)/M(004),사이즈/XS(002)/S(003)/M(004)&어깨너비/35/36/37&가슴둘레/88/92/96&소매길이/37/38/39&총장/106/108/110,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Satin Round Collar Dress,15, 0, "30%",30폴리에스터 사틴 소재로 제작된 폴카도트 패턴의 드레스 입니다. 잔잔한 폴카도트 패턴과 은은한 광택의 소재감이 여성스럽고 귀여운 느낌을 줍니다. 팔꿈치까지 오는 기장의 슬리브와 앞단의 주름이 소녀스럽고 사랑스러운 무드를 연출합니다. 얇은 폴리에스터 소재로 여름까지 착용이 가능하며, 재킷이나 카디건과 레이어드는 물론 단독으로도 착용하기에도 좋은 아이템 입니다.White,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/04/09/GM0024040984933_0_THNAIL_ORGINL_20240412110356052.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Round Neck Sleeveless Dress,15, 0, "30%",30폴리에스터 소재의 슬리브리스 드레스 입니다. 상체 부분은 베이직한 슬리브리스 디자인으로, 스커트 부분은 턱을 잡아 볼륨을 준 독특한 디자인 입니다. 두껍지 않은 울 소재로 제작되어 부담스럽지 않은 볼륨감으로 자연스러운 실루엣을 연출합니다. 셔츠나 티셔츠 등의 이너와 다양한 레이어드가 가능하며, 여성스러운 룩을 연출합니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/02/27/GM0024022710639_0_THNAIL_ORGINL_20240227143455210.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
