(Unisex) Wool Gabardine,14,0,"850,000",0,남녀 모두 착용할 수 있는 제품입니다. 블랙 꼼데가르송 라인으로, 모노톤 위주의 컬러로 전개하여 무난하면서도 세련된 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감 : 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/09/04/GM0024090410771_0_THNAIL_ORGINL_20240909141049314.jpg,XS/S/M/L,사이즈/XS/S/M/L&허리둘레/67/70/73/76&허벅지너비/41/42/43/44&밑위 길이/29/30/31/32&밑단너비/14.5/15.5/16.5/17.5&총장/104.8/105.4/106/106.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Polyester Ruffle Detail Pants,14,0,"630,000",0,폴리에스터 소재로 제작된 팬츠입니다. 얇고 약간의 광택이 나는 소재를 사용해 구겨진 듯한 느낌이 특징입니다. 밑단에 러플 디테일로 포인트를 더했으며, 허리에 밴드를 넣어 착용감이 편안합니다. 브랜드 특유의 감각적인 실루엣을 완성하는 유니크한 디자인이 돋보입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096305_0_THNAIL_ORGINL_20240904121448092.jpg,XS/S/M,사이즈/XS/S/M&허리둘레/63.6/66/68.4&허벅지너비/37/38/39&밑위 길이/30/31/32&밑단너비/28.5/29/29.5&총장/86.4/87/87.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Polyester Gabardine Garment Treated,14,0,"730,000",0,남녀 모두 착용할 수 있는 제품입니다. 블랙 꼼데가르송 라인으로, 모노톤 위주의 컬러로 전개하여 무난하면서도 세련된 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감 : 아크릴 70%, 모 30%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/09/04/GM0024090410770_0_THNAIL_ORGINL_20240909141047956.jpg,XXS/XS/S/M/L,사이즈/XXS/XS/S/M/L&허리둘레/66/69/72/75/78&허벅지너비/31/32/33/34/34&밑위 길이/26/27/28/29/30&밑단너비/16/17/18/19/20&총장/89.8/90.4/91/91.6/92.2,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Wool Round Shape Pants,14,0,"830,000",0,울 소재로 제작된 팬츠입니다. 전체적으로 둥근 실루엣을 연출하며 발목으로 갈수록 좁아지는 핏이 돋보입니다. 두께감이 적당해 여러 계절에 활용할 수 있습니다. 감각적인 꼼데가르송 룩을 완성하는 베이직 아이템 중 하나로, 다양한 상의와 매치가 가능합니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/30/GM0024083096303_0_THNAIL_ORGINL_20240904121446800.jpg,,,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Wool Wide Fit Pants,14,0,"530,000",0,울 소재로 제작된 와이드 핏 팬츠입니다. 두께감이 적당해 여러 계절에 착용할 수 있습니다. 허리에 밴딩을 넣어 착용감이 편안합니다. 스트레이트하게 떨어지는 와이드 핏 팬츠로, 활용도가 높은 베이직 아이템입니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697089_0_THNAIL_ORGINL_20240809163856713.jpg,XS/S/M,사이즈/XS/S/M&허리둘레/65.6/68/70.4&허벅지너비/39/40/41&밑위 길이/31/32/33&밑단너비/38.5/39/39.5&총장/85.9/86.5/87.1,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Straight Fit Wool Pants,14,0,"430,000",0,울 소재로 제작된 스트레이트 핏 팬츠입니다. 허리에 밴드를 넣어 편안한 착용이 가능합니다. 티셔츠나 셔츠와 같은 짧은 상의는 물론, 긴 기장감의 롱 셔츠나 스커트와도 레이어드할 수 있습니다. 베이직 아이템으로 다양한 스타일을 연출할 수 있어 실용적입니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697091_0_THNAIL_ORGINL_20240809184334927.jpg,XS/S/M,사이즈/XS/S/M&허리둘레/65.6/68/70.4&허벅지너비/28.5/29.5/30.5&밑위 길이/27/28/29&밑단너비/17/17.5/18&총장/91.4/92/92.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Gingham Check Wool Short Pants,14,0,"780,000",0,울 소재로 제작된 깅엄 체크 패턴의 반바지입니다. 무릎까지 오는 기장과 넉넉한 핏, 여밈 단추가 보다 정돈된 분위기를 선사합니다. 같은 소재로 제작된 재킷과 매치해 걸리시한 스쿨룩을 완성할 수 있습니다.Grey,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697092_0_THNAIL_ORGINL_20240809163943745.jpg,XS/S/M,사이즈/XS/S/M&허리둘레/73.6/76/78.4&허벅지너비/35/36/37&밑위 길이/30/31/32&밑단너비/31/31.5/32&총장/54.4/55/55.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
Milano Wool Wide Pants,14,0,"980,000",0,밀라노 울 소재로 제작된 와이드 팬츠입니다. 이번 시즌 새롭게 선보이는 제품으로, 밑위가 길고 여유 있는 핏이 색다른 실루엣을 연출합니다. 단추 여밈으로 보다 단정하고 정돈된 무드를 선사합니다. 같은 소재로 제작된 재킷과 매치해 유니크한 룩을 완성할 수 있습니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/08/06/GM0024080697090_0_THNAIL_ORGINL_20240809163942786.jpg,XS/S/M,사이즈/XS/S/M&허리둘레/76.6/79/81.4&허벅지너비/50/51/52&밑위 길이/73/74/75&밑단너비/34.5/35/35.5&총장/92.4/93/93.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Polyester Jacquard Check Pattern Garmen,14,0,"930,000",0,유니섹스 라인 블랙 꼼데가르송입니다. 모노톤 위주의 컬러로 전개하여 무난하면서도 시크한 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감: 폴리에스터 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/29/GM0024072937386_0_THNAIL_ORGINL_20240801130908547.jpg,XS/S/M/L,사이즈/XS/S/M/L&허리둘레/66/69/72/75&허벅지너비/46/47/48/49&밑위 길이/32/33/34/35&밑단너비/15/16/17/18&총장/105.8/106.4/107/107.6,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
(Unisex) Wool Gabardine,14,0,"980,000",0,유니섹스 라인 블랙 꼼데가르송입니다. 모노톤 위주의 컬러로 전개하여 무난하면서도 시크한 착장을 완성할 수 있습니다. 합리적인 가격대에 꼼데가르송의 아이덴티티를 느낄 수 있는 아이템입니다.Black,"겉감: 모 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/CGCG/24/07/29/GM0024072937387_0_THNAIL_ORGINL_20240801130909843.jpg,XS/S/M/L,사이즈/XS/S/M/L&허리둘레/63/66/69/72&허벅지너비/45/46/47/48&밑위 길이/31/32/33/34&밑단너비/14/15/16/17&총장/105.2/105.8/106.4/107,0 ,0 , SYSDATE, SYSDATE ,5, NULL, NULL
